"MIM"	"OMIM_disease_title"	"phecodes"
"OMIM_614480"	"#614480 HYPERTRIGLYCERIDEMIA, TRANSIENT INFANTILE; HTGTI"	"272.12,571,571.5,573.3,573.6,579.2"
"OMIM_614306"	"#614306 COGNITIVE IMPAIRMENT WITH OR WITHOUT CEREBELLAR ATAXIA; CIAT"	"292.1,292.2,315.3,350.3,368.1,377.3,378.2"
"OMIM_614558"	"#614558 EPILEPTIC ENCEPHALOPATHY, EARLY INFANTILE, 13; EIEE13"	"313.3,315.3,331,345.1,345.11,350.3"
"OMIM_600376"	"#600376 TELANGIECTASIA, HEREDITARY HEMORRHAGIC, TYPE 2; HHT2PULMONARY ARTERIAL HYPERTENSION, HEREDITARY HEMORRHAGIC TELANGIECTASIA-RELATED,INCLUDED"	"285,324,340,345.3,401,415.21,429.3,430.1,430.2,433.21,433.31,448,477,512.7,513.3,537.1,571.51,578.1,578.2"
"OMIM_144200"	"PALMOPLANTAR KERATODERMA, EPIDERMOLYTIC"	"078,701.1,705.8,939"
"OMIM_146590"	"ICHTHYOSIS HYSTRIX, CURTH-MACKLIN TYPE"	"701.1,707,739,791"
"OMIM_231550"	"#231550 ACHALASIA-ADDISONIANISM-ALACRIMA SYNDROME; AAAS;;TRIPLE-A SYNDROME;;ALACRIMA-ACHALASIA-ADRENAL INSUFFICIENCY NEUROLOGIC DISORDER;;GLUCOCORTICOID DEFICIENCY AND ACHALASIA;;ALLGROVE SYNDROME;;ADDISONIAN-ACHALASIA SYNDROME;;HYPOADRENALISM WITH ACHALASIA;;ALACRIMA-ACHALASIA-ADDISONIANISM;;ACTH-RESISTANT ADRENAL INSUFFICIENCY, ACHALASIA AND ALACRIMAACHALASIA-ALACRIMA SYNDROME, INCLUDED"	"255.2,255.21,292.1,315.3,334.1,337,350.5,356,375,377.1,379.4,458.1,530.5,694.2,772.3"
"OMIM_272300"	"SULFOCYSTEINURIA"	"300,333,333.3,334.1,342,345.3,772.2,939"
"OMIM_607598"	"LETHAL CONGENITAL CONTRACTURE SYNDROME 2"	"360.2,362.3,425,509.1,526.3,595,772.1,782.3"
"OMIM_616280"	"#616280 CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2U; CMT2U;;CHARCOT-MARIE-TOOTH NEUROPATHY, TYPE 2U;;CHARCOT-MARIE-TOOTH DISEASE, AXONAL, AUTOSOMAL DOMINANT, TYPE 2U"	"350.2,350.5,356,687.4"
"OMIM_604187"	"#604187 SPASTIC PARAPLEGIA 10, AUTOSOMAL DOMINANT; SPG10;;SPASTIC PARAPLEGIA 10 WITH OR WITHOUT PERIPHERAL NEUROPATHY"	"332,334.1,350.1,350.2,350.5,596.5,599.4,599.9,687.4,737.3,772.3"
"OMIM_609195"	"#609195 SPASTIC PARAPLEGIA 26, AUTOSOMAL RECESSIVE; SPG26"	"292.1,315.3,331,333.4,334.1,350.1,350.2,350.3,350.5,366,378.2,599.9,737.3,741.3,772.1"
"OMIM_610505"	"#610505 COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 3; COXPD3;;ENCEPHALOMYOPATHY, RESPIRATORY FAILURE, AND LACTIC ACIDOSIS;;CONCENTRIC CARDIOMYOPATHY, HYPOTONIA, AND LACTIC ACIDOSIS"	"276.41,292.2,333.1,333.4,334.1,345.3,348.8,348.9,367.9,377.1,377.3,425,425.1,509.1,573.3,637,772.3,772.4"
"OMIM_166700"	"BUSCHKE-OLLENDORFF SYNDROME"	"216,217.1,250.1,289.4,367.9,378,389,473.4,475,694,701.2,716,739,741.2,743.2,745,770"
"OMIM_615987"	"#615987 BARDET-BIEDL SYNDROME 10; BBS10"	"278.1,292.2,362.7,585.2"
"OMIM_610189"	"SENIOR-LOKEN SYNDROME 6"	"362.7,367.9,585.3"
"OMIM_615991"	"#615991 BARDET-BIEDL SYNDROME 14; BBS14"	"278.1,315.3,362.7"
"OMIM_615973"	"#615973 CONE-ROD DYSTROPHY 20; CORD20"	"362.7,367.9,378.2"
"OMIM_610048"	"#610048 CORNEAL DYSTROPHY, CONGENITAL STROMAL; CSCD;;CONGENITAL STROMAL CORNEAL DYSTROPHY"	"365,367.9,378"
"OMIM_615862"	"#615862 NEPHRONOPHTHISIS 18; NPHP18"	"315.3,331.1,378,571.51,575.2,580.32,585.3"
"OMIM_256000"	"#256000 LEIGH SYNDROME; LS;;NECROTIZING ENCEPHALOPATHY, INFANTILE SUBACUTE, OF LEIGH; SNELEIGH SYNDROME DUE TO MITOCHONDRIAL COMPLEX I DEFICIENCY, INCLUDED;;LEIGH SYNDROME DUE TO MITOCHONDRIAL COMPLEX II DEFICIENCY, INCLUDED;;LEIGH SYNDROME DUE TO MITOCHONDRIAL COMPLEX III DEFICIENCY, INCLUDED;;LEIGH SYNDROME DUE TO MITOCHONDRIAL COMPLEX IV DEFICIENCY, INCLUDED;;LEIGH SYNDROME DUE TO MITOCHONDRIAL COMPLEX V DEFICIENCY, INCLUDED"	"276.41,292.1,315.3,333.4,334.1,341,345.3,350.1,350.3,350.5,362.7,377.1,378.2,378.5,389.1,509.1,513,573.4,704.2"
"OMIM_261600"	"#261600 PHENYLKETONURIA; PKU;;PHENYLALANINE HYDROXYLASE DEFICIENCY;;PAH DEFICIENCY;;OLIGOPHRENIA PHENYLPYRUVICA;;FOLLING DISEASEHYPERPHENYLALANINEMIA, NON-PKU MILD, INCLUDED;;HPA, NON-PKU MILD, INCLUDED;;PHENYLKETONURIA, MATERNAL, INCLUDED"	"292.2,295.3,300.1,300.3,312,313.1,315.3,345.3,348.9,350.5,366,694,701.3,706.8,939"
"OMIM_614381"	"#614381 LEUKODYSTROPHY, HYPOMYELINATING, 8, WITH OR WITHOUT OLIGODONTIA AND/ORHYPOGONADOTROPIC HYPOGONADISM; HLD8"	"292.1,315.3,331,333.1,350.3,350.5,378.2"
"OMIM_251110"	"#251110 METHYLMALONIC ACIDURIA, CBLB TYPE;;METHYLMALONIC ACIDEMIA, CBLB TYPE;;METHYLMALONIC ACIDURIA, VITAMIN B12-RESPONSIVE, DUE TO DEFECT IN SYNTHESISOF ADENOSYLCOBALAMIN, CBLB TYPE"	"250.5,276.41,276.5,284.1,285,287.3,348.7,350.3,512.9,573.3,789,798"
"OMIM_260920"	"#260920 HYPER-IGD SYNDROME; HIDS;;HYPERIMMUNOGLOBULINEMIA D AND PERIODIC FEVER SYNDROME;;PERIODIC FEVER, DUTCH TYPE"	"289.4,292.2,339,340,345.3,350.3,362.7,368,377.1,386.2,443.8,446,560,561.1,567,573.3,578,579.2,687.1,694.2,716,741.2,745,770,785,789,790.1,947"
"OMIM_600175"	"#600175 SPINAL MUSCULAR ATROPHY, DISTAL, CONGENITAL NONPROGRESSIVE;;SPINAL MUSCULAR ATROPHY, CONGENITAL BENIGN, WITH CONTRACTURES"	"334.2,350.3,350.5,359.1,735.1,737.1,737.2,737.3,739,741.2,772.1"
"OMIM_606071"	"HEREDITARY MOTOR AND SENSORY NEUROPATHY, TYPE IIC"	"327.32,350.5,359.1,378.5,389.1,473.3,479,509.1,599.4,599.9,687.4,735.21,737.3,772.1,772.3"
"OMIM_133100"	"#133100 ERYTHROCYTOSIS, FAMILIAL, 1; ECYT1;;POLYCYTHEMIA, PRIMARY FAMILIAL AND CONGENITAL; PFCP;;ERYTHROCYTOSIS, AUTOSOMAL DOMINANT BENIGN"	"276.6,286,339,340,386.2,401,411.2,430.2,433.3,444.1,451,477,509,512.9,513.31,579.2,698,745,785,798"
"OMIM_187950"	"THROMBOCYTHEMIA, ESSENTIAL"	"200,401,443.8,579.2"
"OMIM_183090"	"SPINOCEREBELLAR ATAXIA 2"	"290.1,292.1,333.1,333.2,333.8,334.1,348.9,350.1,350.3,350.5,362.7,378.2,378.5,532,596.5,772.1,781.2"
"OMIM_615120"	"#615120 MYASTHENIC SYNDROME, CONGENITAL, WITH PRE- AND POSTSYNAPTIC DEFECTS;CMSPPD;;MYASTHENIC SYNDROME, CONGENITAL, DUE TO AGRIN DEFICIENCY"	"352.2,374.3,509,798"
"OMIM_610738"	"NEUTROPENIA, SEVERE CONGENITAL, AUTOSOMAL RECESSIVE 3; SCN3"	"041,200,204,345.3"
"OMIM_201470"	"ACYL-COA DEHYDROGENASE, SHORT-CHAIN, DEFICIENCY OF"	"276.41,295.3,345.3,350.3,352.2,359.2,378.5,425,737.3,739,798"
"OMIM_615010"	"#615010 AICARDI-GOUTIERES SYNDROME 6; AGS6"	"283,292.1,331,333.1,348.9,378.2"
"OMIM_600462"	"#600462 MYOPATHY, LACTIC ACIDOSIS, AND SIDEROBLASTIC ANEMIA 1; MLASA1;;MITOCHONDRIAL MYOPATHY AND SIDEROBLASTIC ANEMIA"	"275.1,276.41,280.1,285.3,315.3,526.3,772.1,782.6,798"
"OMIM_148210"	"#148210 KERATITIS-ICHTHYOSIS-DEAFNESS SYNDROME, AUTOSOMAL DOMINANT;;KID SYNDROME, AUTOSOMAL DOMINANT"	"172.22,364,364.4,367.9,368.9,370.1,370.31,374.1,389.1,528.6,529,686,701.1,705,739"
"OMIM_253700"	"#253700 MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 2C; LGMD2C;;MUSCULAR DYSTROPHY, DUCHENNE-LIKE;;DUCHENNE-LIKE MUSCULAR DYSTROPHY, AUTOSOMAL RECESSIVE, TYPE 1; DMDA1;;DMDA;;ADHALIN DEFICIENCY, SECONDARY;;SARCOGLYCAN, GAMMA, DEFICIENCY OF;;SEVERE CHILDHOOD AUTOSOMAL RECESSIVE MUSCULAR DYSTROPHY, NORTH AFRICANTYPE; SCARMD;;MAGHREBIAN MYOPATHY"	"359.1,416,480,510,737.2,737.3,739,772.1"
"OMIM_615268"	"#615268 CEREBELLAR ATAXIA, MENTAL RETARDATION, AND DYSEQUILIBRIUM SYNDROME4; CAMRQ4;;CEREBELLAR ATAXIA AND MENTAL RETARDATION WITH OR WITHOUT QUADRUPEDALLOCOMOTION 4"	"292.1,315.3,331,334.1,741.3"
"OMIM_174000"	"MEDULLARY CYSTIC KIDNEY DISEASE 1"	"274.1,285,331,401,458,580.12,580.14,580.32,580.4,585.3,586,586.11,586.2"
"OMIM_230800"	"#230800 GAUCHER DISEASE, TYPE I;;GD I;;GAUCHER DISEASE, NONCEREBRAL JUVENILE;;GLUCOCEREBROSIDASE DEFICIENCY;;ACID BETA-GLUCOSIDASE DEFICIENCY;;GBA DEFICIENCY"	"204.4,269,284.1,285,287.3,289.5,415.21,427.42,477,504.1,510,512.7,514,571.51,572,573.3,579.2,593,694.2,733.4,737.1,740,743.1,743.2,782.3,785,805"
"OMIM_230900"	"#230900 GAUCHER DISEASE, TYPE II;;GD II;;GAUCHER DISEASE, ACUTE NEURONOPATHIC TYPE"	"260,285,287.3,290.1,331,334.2,345.3,350.1,350.5,378,378.1,378.5,427.42,465,501,509,513,513.31,532,573.3,579.2,739,772.2"
"OMIM_231000"	"#231000 GAUCHER DISEASE, TYPE III;;GD III;;GAUCHER DISEASE, SUBACUTE NEURONOPATHIC TYPE;;GAUCHER DISEASE, CHRONIC NEURONOPATHIC TYPE;;GAUCHER DISEASE, JUVENILE AND ADULT, CEREBRALGAUCHER DISEASE, TYPE IIIA, INCLUDED;;GAUCHER DISEASE, TYPE IIIB, INCLUDED;;GAUCHER DISEASE, NORRBOTTNIAN TYPE, INCLUDED"	"269,284.1,285,287.3,290.1,292.1,296.2,333.2,334.1,345.11,345.3,350.2,350.3,378,378.5,415.21,440.2,465,510,573.3,579.2,593,733.4,743.2,772.2"
"OMIM_231005"	"GAUCHER DISEASE, TYPE IIIC"	"284.1,331.1,333.8,345.3,364.1,378,378.2,378.5,389,394.1,394.2,416,428.1,440.9,573.3,579.2,772.2"
"OMIM_616081"	"#616081 PONTOCEREBELLAR HYPOPLASIA, TYPE 1C; PCH1C;;HYPOMYELINATION WITH SPINAL MUSCULAR ATROPHY AND CEREBELLAR HYPOPLASIA"	"331,334.1,334.2,367.9,389,509.1,739,772.3"
