"phecode"	"case_count"	"prev"	"w"
"008"	1061	0.04889175614027	1.31076436305666
"008.5"	543	0.02502188839224	1.60167991736915
"008.51"	4	0.000184323303073591	3.73441975563003
"008.52"	512	0.0235933827934197	1.62720978598217
"008.6"	370	0.0170499055343072	1.768278022891
"008.7"	9	0.00041472743191558	3.38223723751867
"010"	123	0.00566794156951293	2.2465746355186
"031"	56	0.00258052624303028	2.5882917199518
"031.1"	1	4.60808257683978e-05	4.336479746958
"038"	2138	0.0985208054928344	1.00647204608524
"038.1"	446	0.0205520482927054	1.68714488824585
"038.2"	320	0.0147458642458873	1.83132976863809
"038.3"	1122	0.0517026865121423	1.28648689003785
"041"	2987	0.137643426570204	0.861244524353868
"041.1"	1235	0.0569098198239712	1.24481278936231
"041.11"	625	0.0288005161052486	1.54059972961392
"041.12"	404	0.0186166536104327	1.73009838184739
"041.2"	718	0.0330860329017096	1.4803553027157
"041.21"	11	0.000506889083452375	3.29508706179977
"041.4"	817	0.037648034652781	1.42425769042558
"041.8"	108	0.00497672918298696	2.30305599147105
"041.9"	528	0.024330676005714	1.61384582442418
"053"	801	0.0369107414404866	1.43284723087376
"053.1"	162	0.00746509377448044	2.12696473241537
"054"	485	0.0223492004976729	1.65073800835573
"070"	628	0.0289387585825538	1.5385201032208
"070.1"	28	0.00129026312151514	2.88932171561578
"070.2"	140	0.00645131560757569	2.19035171127976
"070.3"	517	0.0238237869222616	1.62298920386405
"070.4"	342	0.015759642412792	1.80245364090186
"070.9"	402	0.0185244919588959	1.73225369387353
"071"	120	0.00552969909220773	2.25729850091037
"071.1"	109	0.00502281000875536	2.29905324901737
"078"	1126	0.0518870098152159	1.28494135644267
"079"	1387	0.0639141053407677	1.19440328588471
"079.1"	22	0.00101377816690475	2.99405706613579
"079.2"	51	0.00235012211418829	2.62890957086006
"079.9"	15	0.000691212386525967	3.16038848790231
"080"	1507	0.0694438044329754	1.15836649464336
"081"	1221	0.0562646882632137	1.24976408301311
"081.1"	19	0.000875535689599558	3.05772614600517
"081.11"	4	0.000184323303073591	3.73441975563003
"081.12"	10	0.000460808257683978	3.336479746958
"090"	112	0.00516105248606055	2.28726172428781
"090.2"	2	9.21616515367955e-05	4.03544975129402
"090.3"	6	0.000276484954610387	3.55832849657435
"110"	1869	0.0861250633611354	1.06487044557916
"110.1"	1754	0.0808257683977697	1.09245015792797
"110.11"	1271	0.0585687295516336	1.23233419640399
"110.12"	350	0.0161282890189392	1.79241170260772
"110.13"	355	0.0163586931477812	1.7862513939029
"110.2"	163	0.00751117460024884	2.12429214255404
"112"	1656	0.0763098474724667	1.11741941450913
"112.3"	295	0.0135938436016773	1.86665773097983
"117"	403	0.0185705727846643	1.73117470081689
"117.1"	121	0.00557577991797613	2.25369437664155
"117.2"	15	0.000691212386525967	3.16038848790231
"117.3"	14	0.000645131560757569	3.19035171127976
"117.4"	60	0.00276484954610387	2.55832849657435
"130"	31	0.00142850559882033	2.84511805312372
"130.1"	12	0.000552969909220773	3.25729850091037
"131"	38	0.00175107137919912	2.75669615034119
